% Model,RG58-RLGC.mph,,,,,
% Version,COMSOL 6.3.0.290,,,,,
% Date,"Sep 3 2026, 20:13",,,,,
% Table,浼犺緭绾垮弬鏁?(tlp1) 1 - ,,,,,
% freq (Hz),单位长度串联电阻(Ohm/m),单位长度串联电感(H/m),单位长度并联电导(S/m),单位长度并联电容(F/m),特性阻抗（Ohm）,传播常数 (1/m)
760000,0.109793211,2.59E-07,5.29E-14,1.05E-10,49.608086257183864-2.1978429605933165i,0.0011066059915980813+0.02497749217650619i
780000,0.111141987,2.59E-07,5.29E-14,1.05E-10,49.580456987091765-2.1690035656714235i,0.00112082455145745+0.025620517279351128i
800000,0.112473455,2.58E-07,5.29E-14,1.05E-10,49.55386093184938-2.1412618934361047i,0.001134860661684698+0.026263357811733487i
820000,0.113788277,2.58E-07,5.29E-14,1.05E-10,49.528235847645334-2.1145504362850476i,0.0011487212832016992+0.026906021029940896i
840000,0.115087078,2.58E-07,5.29E-14,1.05E-10,49.503524511429355-2.0888073916851977i,0.0011624129739013491+0.027548513685396406i
860000,0.116370445,2.58E-07,5.29E-14,1.05E-10,49.47967421998174-2.0639760405360903i,0.0011759419124307165+0.02819084207187774i
880000,0.117638932,2.57E-07,5.29E-14,1.05E-10,49.4566363495684-2.040004209231334i,0.0011893139213501524+0.02883301206823527i
900000,0.11889306,2.57E-07,5.29E-14,1.05E-10,49.4343659673202-2.0168438021706288i,0.0012025344895324017+0.029475029176942544i
920000,0.120133321,2.57E-07,5.29E-14,1.05E-10,49.412821486890806-1.9944503938227855i,0.0012156087936927508+0.030116898558738926i
940000,0.121360177,2.57E-07,5.29E-14,1.05E-10,49.39196436232063-1.9727828713185136i,0.0012285417189556286+0.030758625063690682i
960000,0.122574069,2.57E-07,5.29E-14,1.05E-10,49.37175881509981-1.9518031201061599i,0.0012413378783953492+0.03140021325902799i
980000,0.123775407,2.56E-07,5.29E-14,1.05E-10,49.3521715900322-1.9314757464555052i,0.0012540016315101402+0.032041667453983604i
1000000,0.124964585,2.56E-07,5.29E-14,1.05E-10,49.333171736458915-1.9117678316185147i,0.0012665371016079084+0.03268299172202226i
1020000,0.12614197,2.56E-07,5.29E-14,1.05E-10,49.31473041163423-1.8926487133070677i,0.0012789481921072839+0.03332418992064776i
1040000,0.127307916,2.56E-07,5.29E-14,1.05E-10,49.29682070374907-1.874089790827189i,0.0012912386017654685+0.0339652657091153i
1060000,0.128462752,2.56E-07,5.29E-14,1.05E-10,49.279417472333904-1.8560643507889676i,0.0013034118388635138+0.034606222564278276i
1080000,0.129606796,2.56E-07,5.29E-14,1.05E-10,49.26249720395594-1.838547410777882i,0.001315471234386996+0.035247063794691946i
1100000,0.130740347,2.55E-07,5.29E-14,1.05E-10,49.2460378817419-1.8215155787591897i,0.0013274199542439365+0.03588779255331756i
1120000,0.13186369,2.55E-07,5.29E-14,1.05E-10,49.2300188670631-1.8049469263186344i,0.0013392610105720396+0.03652841184888112i
1140000,0.132977096,2.55E-07,5.29E-14,1.05E-10,49.21442079212688-1.7888208741103406i,0.001350997272187977+0.03716892455606116i
1160000,0.134080826,2.55E-07,5.29E-14,1.05E-10,49.19922546237377-1.7731180881062936i,0.001362631474230826+0.037809333424673956i
1180000,0.135175126,2.55E-07,5.29E-14,1.05E-10,49.1844157677076-1.757820385435207i,0.0013741662270538378+0.038449641088003736i
1200000,0.136260232,2.55E-07,5.29E-14,1.05E-10,49.16997560147708-1.7429106487632628i,0.0013856040244212104+0.03908985007023924i
1220000,0.13733637,2.54E-07,5.29E-14,1.05E-10,49.15588978671403-1.728372748293575i,0.0013969472510559735+0.039729962793334204i
1240000,0.138403756,2.54E-07,5.29E-14,1.05E-10,49.14214400864761-1.714191470592068i,0.0014081981895946846+0.04036998158315834i
1260000,0.139462598,2.54E-07,5.29E-14,1.05E-10,49.12872475304348-1.700352453532667i,0.001419359026991939+0.04100990867514707i
1280000,0.140513093,2.54E-07,5.29E-14,1.05E-10,49.11561924974414-1.686842126746448i,0.0014304318604203684+0.0416497462194595i
1300000,0.141555433,2.54E-07,5.29E-14,1.05E-10,49.10281542092825-1.6736476570335899i,0.0014414187027105342+0.04228949628571106i
1320000,0.1425898,2.54E-07,5.29E-14,1.05E-10,49.090301833630406-1.6607568982503405i,0.0014523214873645115+0.04292916086731988i
1340000,0.143616371,2.54E-07,5.29E-14,1.05E-10,49.078067656135985-1.648158345251597i,0.001463142073185862+0.04356874188551825i
1360000,0.144635315,2.54E-07,5.29E-14,1.05E-10,49.066102617902054-1.6358410915014228i,0.0014738822485527896+0.04420824119307292i
1380000,0.145646795,2.53E-07,5.29E-14,1.05E-10,49.05439697265082-1.6237947900172498i,0.0014845437353692634+0.044847660577722506i
1400000,0.146650969,2.53E-07,5.29E-14,1.05E-10,49.04294146434791-1.6120096173454792i,0.0014951281927227346+0.04548700176535368i
1420000,0.147647987,2.53E-07,5.29E-14,1.05E-10,49.031727295870056-1.6004762402922188i,0.0015056372202698592+0.04612626642300441i
1440000,0.148637996,2.53E-07,5.29E-14,1.05E-10,49.02074610003672-1.5891857851714033i,0.0015160723613788871+0.04676545616163086i
1460000,0.149621138,2.53E-07,5.29E-14,1.05E-10,49.0099899128631-1.5781298093472642i,0.0015264351060465+0.04740457253872038i
1480000,0.150597549,2.53E-07,5.29E-14,1.05E-10,48.999451148785724-1.5673002748750444i,0.001536726893609575+0.04804361706071142i
1500000,0.15156736,2.53E-07,5.29E-14,1.05E-10,48.98912257775445-1.5566895240632979i,0.0015469491152709878+0.048682591185299086i
1520000,0.152530699,2.53E-07,5.29E-14,1.05E-10,48.9789973039734-1.546290256794496i,0.0015571031164532455+0.04932149632358069i
1540000,0.153487689,2.53E-07,5.29E-14,1.05E-10,48.96906874617611-1.5360955094594477i,0.0015671901989955414+0.04996033384207449i
1560000,0.154438451,2.52E-07,5.29E-14,1.05E-10,48.959330619355164-1.5260986353720227i,0.001577211623206102+0.05059910506467682i
1580000,0.155383099,2.52E-07,5.29E-14,1.05E-10,48.949776917655484-1.5162932865495595i,0.0015871686097868886+0.051237811274380304i
1600000,0.156321746,2.52E-07,5.29E-14,1.05E-10,48.94040189863506-1.506673396740961i,0.0015970623416325495+0.05187645371508667i
1620000,0.1572545,2.52E-07,5.29E-14,1.05E-10,48.93120006845591-1.497233165611936i,0.0016068939655218583+0.052515033593161536i
1640000,0.158181468,2.52E-07,5.29E-14,1.05E-10,48.922166168143-1.4879670439915613i,0.0016166645937051598+0.053153552078977276i
1660000,0.159102751,2.52E-07,5.29E-14,1.05E-10,48.91329516077702-1.4788697201004282i,0.0016263753053982633+0.05379201030838564i
1680000,0.160018448,2.52E-07,5.29E-14,1.05E-10,48.90458221949793-1.469936106683541i,0.001636027148188562+0.05443040938407757i
1700000,0.160928657,2.52E-07,5.29E-14,1.05E-10,48.896022716320886-1.461161328982553i,0.0016456211393635384+0.05506875037690507i
1720000,0.161833471,2.52E-07,5.29E-14,1.05E-10,48.88761221166218-1.4525407134793125i,0.0016551582671618713+0.05570703432711957i
1740000,0.162732981,2.52E-07,5.29E-14,1.05E-10,48.879346444554436-1.4440697773564735i,0.001664639491956313+0.056345262245574096i
1760000,0.163627275,2.52E-07,5.29E-14,1.05E-10,48.871221323443216-1.4357442186241487i,0.001674065747375353+0.056983435114827674i
1780000,0.16451644,2.52E-07,5.29E-14,1.05E-10,48.8632329176023-1.4275599068565044i,0.0016834379413590683+0.05762155389024242i
1800000,0.16540056,2.51E-07,5.29E-14,1.05E-10,48.85537744904867-1.419512874507285i,0.0016927569571690564+0.05825961950099892i
1820000,0.166279716,2.51E-07,5.29E-14,1.05E-10,48.84765128496487-1.411599308747754i,0.0017020236543377927+0.05889763285107857i
1840000,0.167153987,2.51E-07,5.29E-14,1.05E-10,48.840050930555805-1.4038155438022772i,0.001711238869575696+0.05953559482017189i
1860000,0.168023451,2.51E-07,5.29E-14,1.05E-10,48.83257302235361-1.3961580537398803i,0.001720403417630854+0.06017350626457467i
1880000,0.168888183,2.51E-07,5.29E-14,1.05E-10,48.825214321949915-1.3886234456898319i,0.0017295180921036637+0.06081136801807956i
1900000,0.169748256,2.51E-07,5.29E-14,1.05E-10,48.817971710007264-1.381208453462048i,0.0017385836662318016+0.061449180892724865i
1920000,0.170603743,2.51E-07,5.29E-14,1.05E-10,48.81084218068097-1.3739099315279015i,0.0017476008936263838+0.06208694567958686i
1940000,0.171454712,2.51E-07,5.29E-14,1.05E-10,48.80382283636197-1.3667248493515078i,0.00175657050898006+0.06272466314954181i
1960000,0.172301231,2.51E-07,5.29E-14,1.05E-10,48.796910882678475-1.359650286042484i,0.0017654932287419025+0.0633623340539468i
1980000,0.173143368,2.51E-07,5.29E-14,1.05E-10,48.790103623797904-1.3526834253067404i,0.0017743697517580979+0.06399995912531582i
2000000,0.173981186,2.51E-07,5.29E-14,1.05E-10,48.78339845800589-1.3458215506822724i,0.0017832007598888849+0.06463753907799069i
2020000,0.174814749,2.51E-07,5.29E-14,1.05E-10,48.77679287348343-1.3390620410340788i,0.0017919869185934903+0.06527507460872467i
2040000,0.175644119,2.51E-07,5.29E-14,1.05E-10,48.77028444435568-1.3324023662960032i,0.0018007288774906528+0.0659125663972986i
2060000,0.176469355,2.51E-07,5.29E-14,1.05E-10,48.76387082692283-1.3258400834435806i,0.0018094272708958675+0.06655001510707077i
2080000,0.177290517,2.50E-07,5.29E-14,1.05E-10,48.757549756110244-1.3193728326805398i,0.0018180827183328673+0.067187421385528i
2100000,0.178107662,2.50E-07,5.29E-14,1.05E-10,48.751319042109834-1.3129983338294335i,0.0018266958250259984+0.06782478586482377i
2120000,0.178920846,2.50E-07,5.29E-14,1.05E-10,48.745176567153734-1.3067143829112657i,0.0018352671823710024+0.0684621091622315i
2140000,0.179730123,2.50E-07,5.29E-14,1.05E-10,48.73912028251749-1.3005188489015629i,0.001843797368384135+0.0690993918806704i
2160000,0.180535549,2.50E-07,5.29E-14,1.05E-10,48.733148205625064-1.2944096706553154i,0.0018522869481349222+0.06973663460913436i
2180000,0.181337174,2.50E-07,5.29E-14,1.05E-10,48.72725841731707-1.288384853988812i,0.0018607364741611977+0.07037383792313208i
2200000,0.182135051,2.50E-07,5.29E-14,1.05E-10,48.7214490592722-1.2824424689062355i,0.001869146486862953+0.07101100238512677i
2220000,0.182929229,2.50E-07,5.29E-14,1.05E-10,48.71571833152291-1.2765806469700407i,0.0018775175148873402+0.07164812854491519i
2240000,0.183719757,2.50E-07,5.29E-14,1.05E-10,48.71006449013078-1.2707975787983756i,0.0018858500754930564+0.07228521694004349i
2260000,0.184506685,2.50E-07,5.29E-14,1.05E-10,48.7044858449339-1.2650915116868073i,0.0018941446749018945+0.07292226809614569i
2280000,0.185290058,2.50E-07,5.29E-14,1.05E-10,48.69898075746132-1.2594607473452746i,0.0019024018086352926+0.07355928252735618i
2300000,0.186069923,2.50E-07,5.29E-14,1.05E-10,48.69354763887454-1.2539036397461953i,0.0019106219618403508+0.07419626073659825i
2320000,0.186846325,2.50E-07,5.29E-14,1.05E-10,48.68818494806061-1.2484185930725404i,0.0019188056095983974+0.07483320321594097i
2340000,0.187619307,2.50E-07,5.29E-14,1.05E-10,48.6828911898072-1.2430040597680396i,0.0019269532172287711+0.07547011044693197i
2360000,0.188388915,2.50E-07,5.29E-14,1.05E-10,48.677664913028536-1.2376585386752128i,0.0019350652405749139+0.07610698290086487i
2380000,0.189155188,2.50E-07,5.29E-14,1.05E-10,48.67250470912278-1.2323805732611885i,0.001943142126280814+0.0767438210391115i
2400000,0.189918171,2.50E-07,5.29E-14,1.05E-10,48.66740921038607-1.2271687499274038i,0.0019511843120598594+0.07738062531341657i
2420000,0.190677902,2.50E-07,5.29E-14,1.05E-10,48.66237708843538-1.2220216963939743i,0.001959192226948931+0.07801739616607717i
2440000,0.191434422,2.49E-07,5.29E-14,1.05E-10,48.657407052852626-1.2169380801617835i,0.0019671662915597484+0.0786541340303564i
2460000,0.19218777,2.49E-07,5.29E-14,1.05E-10,48.652497849716305-1.2119166070389886i,0.0019751069183129347+0.07929083933060635i
2480000,0.192937985,2.49E-07,5.29E-14,1.05E-10,48.64764826030478-1.206956019737813i,0.0019830145116703514+0.07992751248255348i
2500000,0.193685104,2.49E-07,5.29E-14,1.05E-10,48.64285709986577-1.202055096531549i,0.0019908894683557093+0.08056415389359477i
2520000,0.194429164,2.49E-07,5.29E-14,1.05E-10,48.63812321635263-1.1972126499697464i,0.0019987321775654567+0.08120076396293689i
2540000,0.195170201,2.49E-07,5.29E-14,1.05E-10,48.63344548927913-1.192427525652722i,0.002006543021177412+0.08183734308183711i
2560000,0.195908252,2.49E-07,5.29E-14,1.05E-10,48.62882282865014-1.187698601056878i,0.0020143223739480915+0.0824738916338792i
2580000,0.19664335,2.49E-07,5.29E-14,1.05E-10,48.62425417385207-1.1830247844106336i,0.002022070603703193+0.08311040999509772i
2600000,0.19737553,2.49E-07,5.29E-14,1.05E-10,48.61973849265868-1.1784050136193505i,0.002029788071523105+0.08374689853421198i
2620000,0.198104827,2.49E-07,5.29E-14,1.05E-10,48.61527478025492-1.1738382552334232i,0.0020374751319178672+0.08438335761281258i
2640000,0.198831272,2.49E-07,5.29E-14,1.05E-10,48.6108620582887-1.1693235034645593i,0.002045132133004375+0.0850197875855187i
2660000,0.199554898,2.49E-07,5.29E-14,1.05E-10,48.606499374026654-1.164859779237906i,0.002052759416668543+0.08565618880024324i
2680000,0.200275738,2.49E-07,5.29E-14,1.05E-10,48.6021857994252-1.1604461292860166i,0.002060357318726415+0.08629256159824142i
2700000,0.200993823,2.49E-07,5.29E-14,1.05E-10,48.59792043035798-1.1560816252806227i,0.0020679261690808486+0.0869289063143634i
2720000,0.201709182,2.49E-07,5.29E-14,1.05E-10,48.59370238580936-1.1517653629961255i,0.002075466291866364+0.08756522327718676i
2740000,0.202421848,2.49E-07,5.29E-14,1.05E-10,48.58953080713041-1.147496461513403i,0.0020829780056006424+0.08820151280919628i
2760000,0.203131848,2.49E-07,5.29E-14,1.05E-10,48.58540485727941-1.1432740624485045i,0.0020904616233182608+0.08883777522687743i
2780000,0.203839214,2.49E-07,5.29E-14,1.05E-10,48.581323720161336-1.1390973292177857i,0.002097917452710184+0.0894740108409306i
2800000,0.204543972,2.49E-07,5.29E-14,1.05E-10,48.57728659992143-1.134965446329148i,0.0021053457962533217+0.09011021995634974i
2820000,0.205246152,2.49E-07,5.29E-14,1.05E-10,48.573292720334855-1.1308776187001561i,0.002112746951333859+0.09074640287262077i
2840000,0.205945781,2.49E-07,5.29E-14,1.05E-10,48.569341324155964-1.1268330710069987i,0.0021201212103745225+0.09138255988380013i
2860000,0.206642887,2.49E-07,5.29E-14,1.05E-10,48.56543167253385-1.1228310470554728i,0.0021274688609517383+0.0920186912786637i
2880000,0.207337496,2.49E-07,5.29E-14,1.05E-10,48.56156304445505-1.1188708091756605i,0.0021347901859079983+0.09265479734086168i
2900000,0.208029635,2.48E-07,5.29E-14,1.05E-10,48.557734736159944-1.1149516376430522i,0.002142085463466938+0.09329087834897959i
2920000,0.20871933,2.48E-07,5.29E-14,1.05E-10,48.553946060637465-1.1110728301172976i,0.0021493549673365035+0.09392693457670462i
2940000,0.209406606,2.48E-07,5.29E-14,1.05E-10,48.550196347098954-1.1072337011054985i,0.002156598966815233+0.09456296629290853i
2960000,0.210091489,2.48E-07,5.29E-14,1.05E-10,48.5464849404968-1.103433581445702i,0.0021638177268955426+0.09519897376177913i
2980000,0.210774003,2.48E-07,5.29E-14,1.05E-10,48.542811201046796-1.09967181780696i,0.0021710115083587197+0.09583495724292292i
3000000,0.211454173,2.48E-07,5.29E-14,1.05E-10,48.53917450376333-1.0959477722095134i,0.002178180567869954+0.09647091699144708i
3020000,0.212132023,2.48E-07,5.29E-14,1.05E-10,48.53557423802835-1.0922608215629823i,0.0021853251580715104+0.09710685325808244i
3040000,0.212807576,2.48E-07,5.29E-14,1.05E-10,48.532009807160385-1.0886103572205452i,0.002192445527671203+0.09774276628926469i
3060000,0.213480855,2.48E-07,5.29E-14,1.05E-10,48.52848062803751-1.0849957845499671i,0.002199541921529665+0.09837865632729428i
3080000,0.214151884,2.48E-07,5.29E-14,1.05E-10,48.52498613063676-1.0814165225203933i,0.002206614580745662+0.09901452361029443i
3100000,0.214820684,2.48E-07,5.29E-14,1.05E-10,48.52152575772281-1.0778720032997395i,0.0022136637427303345+0.09965036837244014i
3120000,0.215487279,2.48E-07,5.29E-14,1.05E-10,48.51809896443013-1.0743616718748032i,0.002220689641296353+0.10028619084394036i
3140000,0.21615169,2.48E-07,5.29E-14,1.05E-10,48.51470521795791-1.070884985677822i,0.0022276925067303646+0.10092199125122484i
3160000,0.216813939,2.48E-07,5.29E-14,1.05E-10,48.51134399718023-1.0674414142268214i,0.002234672565864545+0.10155776981692637i
3180000,0.217474046,2.48E-07,5.29E-14,1.05E-10,48.508014792338244-1.06403043878233i,0.0022416300421540525+0.10219352676000472i
3200000,0.218132033,2.48E-07,5.29E-14,1.05E-10,48.50471710474398-1.0606515520126247i,0.0022485651557453304+0.10282926229587414i
3220000,0.218787921,2.48E-07,5.29E-14,1.05E-10,48.501450446411695-1.0573042576699747i,0.0022554781235411448+0.10346497663634681i
3240000,0.219441729,2.48E-07,5.29E-14,1.05E-10,48.49821433983493-1.053988070282754i,0.0022623691592741093+0.1041006699898676i
3260000,0.220093477,2.48E-07,5.29E-14,1.05E-10,48.49500831765484-1.050702514852393i,0.002269238473566045+0.10473634256148974i
3280000,0.220743186,2.48E-07,5.29E-14,1.05E-10,48.49183192235653-1.0474471265627696i,0.002276086273990283+0.10537199455288528i
3300000,0.221390874,2.48E-07,5.29E-14,1.05E-10,48.488684706097395-1.0442214505017577i,0.002282912765137578+0.10600762616262605i
3320000,0.222036562,2.48E-07,5.29E-14,1.05E-10,48.485566230329965-1.0410250413861781i,0.0022897181486672418+0.10664323758599345i
3340000,0.222680267,2.48E-07,5.29E-14,1.05E-10,48.48247606565936-1.0378574633044615i,0.002296502623375548+0.1072788290152746i
3360000,0.223322008,2.48E-07,5.29E-14,1.05E-10,48.479413791502374-1.0347182894582252i,0.002303266385241524+0.10791440063961766i
3380000,0.223961804,2.48E-07,5.29E-14,1.05E-10,48.476378995922765-1.031607101922012i,0.0023100096274925597+0.10854995264524095i
3400000,0.224599673,2.48E-07,5.29E-14,1.05E-10,48.4733712753691-1.0285234914002102i,0.002316732540644739+0.10918548521541659i
3420000,0.225235632,2.48E-07,5.29E-14,1.05E-10,48.47039023448054-1.0254670570022215i,0.002323435312565174+0.10982099853058729i
3440000,0.2258697,2.48E-07,5.29E-14,1.05E-10,48.4674354858537-1.0224374060190202i,0.002330118128519579+0.11045649276837566i
3460000,0.226501893,2.48E-07,5.29E-14,1.05E-10,48.46450664983797-1.0194341537068299i,0.002336781171218451+0.11109196810364355i
3480000,0.227132229,2.48E-07,5.29E-14,1.05E-10,48.46160335435428-1.016456923080233i,0.002343424620867809+0.11172742470858847i
3500000,0.227760724,2.47E-07,5.29E-14,1.05E-10,48.45872523464487-1.0135053447114184i,0.002350048655217643+0.11236286275266343i
3520000,0.228387395,2.47E-07,5.29E-14,1.05E-10,48.455871933232324-1.010579056530674i,0.002356653449597337+0.1129982824029652i
3540000,0.229012259,2.47E-07,5.29E-14,1.05E-10,48.453043099538625-1.0076777036434776i,0.0023632391769742877+0.11363368382382864i
3560000,0.229635332,2.47E-07,5.29E-14,1.05E-10,48.450238389802784-1.0048009381441292i,0.0023698060079895816+0.11426906717708359i
3580000,0.230256629,2.47E-07,5.29E-14,1.05E-10,48.447457467022524-1.0019484189375547i,0.0023763541109984338+0.11490443262237092i
3600000,0.230876167,2.47E-07,5.29E-14,1.05E-10,48.44470000057011-0.9991198115687144i,0.0023828836521145066+0.11553978031667311i
3620000,0.231493961,2.47E-07,5.29E-14,1.05E-10,48.441965666182476-0.9963147880556685i,0.0023893947952495142+0.11617511041471569i
3640000,0.232110026,2.47E-07,5.29E-14,1.05E-10,48.43925414574241-0.9935330267272457i,0.0023958877021505315+0.11681042306885729i
3660000,0.232724378,2.47E-07,5.29E-14,1.05E-10,48.436565127253125-0.9907742120678207i,0.0024023625324417017+0.11744571842943524i
3680000,0.233337032,2.47E-07,5.29E-14,1.05E-10,48.43389830446125-0.988038034562924i,0.002408819443655743+0.1180809966442568i
3700000,0.233948001,2.47E-07,5.29E-14,1.05E-10,48.431253376880946-0.985324190553577i,0.002415258591274358+0.11871625785903393i
3720000,0.234557302,2.47E-07,5.29E-14,1.05E-10,48.42863004969953-0.9826323820955084i,0.0024216801287692386+0.11935150221753454i
3740000,0.235164948,2.47E-07,5.29E-14,1.05E-10,48.42602803348537-0.9799623168123147i,0.0024280842076168227+0.11998672986123388i
3760000,0.235770953,2.47E-07,5.29E-14,1.05E-10,48.4234470440702-0.9773137077708212i,0.0024344709773566967+0.1206219409293787i
3780000,0.236375331,2.47E-07,5.29E-14,1.05E-10,48.42088680273075-0.9746862733444822i,0.002440840585610127+0.12125713555979023i
3800000,0.236978097,2.47E-07,5.29E-14,1.05E-10,48.41834703553774-0.9720797370879537i,0.002447193178115879+0.12189231388758716i
3820000,0.237579264,2.47E-07,5.29E-14,1.05E-10,48.41582747375828-0.9694938276128643i,0.002453528898759057+0.12252747604652055i
3840000,0.238178845,2.47E-07,5.29E-14,1.05E-10,48.41332785339158-0.9669282784709704i,0.002459847889608838+0.12316262216813484i
3860000,0.238776853,2.47E-07,5.29E-14,1.05E-10,48.410847915202986-0.9643828280346769i,0.0024661502909403142+0.12379775238217365i
3880000,0.239373303,2.47E-07,5.29E-14,1.05E-10,48.408387404600596-0.9618572193855297i,0.002472436241267167+0.12443286681657477i
3900000,0.239968206,2.47E-07,5.29E-14,1.05E-10,48.4059460714181-0.9593512002056933i,0.0024787058773732187+0.12506796559721534i
3920000,0.240561576,2.47E-07,5.29E-14,1.05E-10,48.40352367005961-0.9568645226702748i,0.0024849593343376805+0.1257030488485854i
3940000,0.241153425,2.47E-07,5.29E-14,1.05E-10,48.401119959016725-0.9543969433403697i,0.0024911967455535453+0.12633811669282613i
3960000,0.241743766,2.47E-07,5.29E-14,1.05E-10,48.39873470133919-0.9519482230743495i,0.0024974182427854774+0.12697316925123786i
